,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
12,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",[0.53135889 0.53684211 0.5106383  0.49642857],0.5188169648953728,"('RangeX', 'RangeY', 'RangeZ', 'MeanX', 'MeanY', 'MeanZ', 'VarX', 'VarY', 'VarZ', 'SkewX', 'SkewY', 'SkewZ')",0.025975423409095852,0.016204445392577923,0.009355640909473453
11,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",[0.51567944 0.55789474 0.50177305 0.50714286],0.5206225215347657,"('RangeX', 'RangeY', 'RangeZ', 'MeanX', 'MeanY', 'MeanZ', 'VarX', 'VarY', 'VarZ', 'SkewX', 'SkewY')",0.035398822247808076,0.022083115760696846,0.01274969282898399
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 10)",[0.53658537 0.5245614  0.51950355 0.51071429],0.5228411502940018,"('RangeX', 'RangeY', 'RangeZ', 'MeanX', 'MeanY', 'MeanZ', 'VarX', 'VarY', 'VarZ', 'SkewY')",0.014995870599972172,0.009354987690646159,0.005401104661460195
9,"(0, 1, 2, 3, 4, 5, 6, 7, 8)",[0.53484321 0.53508772 0.4964539  0.525     ],0.5228462063955946,"('RangeX', 'RangeY', 'RangeZ', 'MeanX', 'MeanY', 'MeanZ', 'VarX', 'VarY', 'VarZ')",0.02528160303666278,0.015771614167450987,0.009105745685132742
8,"(1, 2, 3, 4, 5, 6, 7, 8)",[0.5261324  0.53684211 0.52836879 0.50357143],0.523728683085503,"('RangeY', 'RangeZ', 'MeanX', 'MeanY', 'MeanZ', 'VarX', 'VarY', 'VarZ')",0.019723596780316703,0.012304320970565948,0.007103903024551807
7,"(1, 2, 3, 4, 5, 6, 8)",[0.5        0.53157895 0.5070922  0.48928571],0.5069892150589239,"('RangeY', 'RangeZ', 'MeanX', 'MeanY', 'MeanZ', 'VarX', 'VarZ')",0.024922733459401165,0.015547737837267395,0.00897649062563606
6,"(1, 3, 4, 5, 6, 8)",[0.4825784  0.52807018 0.50177305 0.48571429],0.49953397700270397,"('RangeY', 'MeanX', 'MeanY', 'MeanZ', 'VarX', 'VarZ')",0.028873734511905603,0.01801252078971416,0.0103995337267252
5,"(1, 3, 4, 5, 6)",[0.46167247 0.47719298 0.46099291 0.45      ],0.4624645910312886,"('RangeY', 'MeanX', 'MeanY', 'MeanZ', 'VarX')",0.015522555687801755,0.009683553643562675,0.005590802302823092
4,"(1, 3, 4, 5)",[0.42857143 0.42631579 0.41843972 0.38392857],0.41431387644643525,"('RangeY', 'MeanX', 'MeanY', 'MeanZ')",0.02876015012470975,0.017941662579983492,0.010358623720262904
3,"(1, 4, 5)",[0.3728223  0.34561404 0.33687943 0.32857143],0.3459717989837073,"('RangeY', 'MeanY', 'MeanZ')",0.026661119192811326,0.01663220819390525,0.009602609877969095
2,"(1, 4)",[0.25609756 0.2245614  0.24113475 0.225     ],0.23669842906435784,"('RangeY', 'MeanY')",0.020902899731142587,0.013040014474652287,0.007528655867177114
1,"(1,)",[0.11672474 0.10701754 0.12411348 0.1       ],0.11196393942822808,"('RangeY',)",0.014732591097287412,0.009190744041676559,0.00530627854651491
