left_arm_local_X,left_arm_local_Y,left_arm_local_Z,right_arm_local_X,right_arm_local_Y,right_arm_local_Z,left_leg_local_X,left_leg_local_Y,left_leg_local_Z,right_leg_local_X,right_leg_local_Y,right_leg_local_Z,waist_head_local_X,waist_head_local_Y,waist_head_local_Z,left_arm_local_distX,left_arm_local__distY,left_arm_local__distZ,right_arm_local__distX,right_arm_local__distY,right_arm_local__distZ,left_leg_local__distX,left_leg_local__distY,left_leg_local__distZ,right_leg_local__distX,right_leg_local__distY,right_leg_local__distZ,waist_head_local__distX,waist_head_local__distY,waist_head_local__distZ,left_arm_global_X,left_arm_global_Y,left_arm_global_Z,right_arm_global_X,right_arm_global_Y,right_arm_global_Z,left_leg_global_X,left_leg_global_Y,left_leg_global_Z,right_leg_global_X,right_leg_global_Y,right_leg_global_Z,waist_head_global_X,waist_head_global_Y,waist_head_global_Z,left_arm_global_distX,left_arm_global__distY,left_arm_global__distZ,right_arm_global__distX,right_arm_global__distY,right_arm_global__distZ,left_leg_global__distX,left_leg_global__distY,left_leg_global__distZ,right_leg_global__distX,right_leg_global__distY,right_global__leg_distZ,waist_head_global__distX,waist_head_global__distY,waist_head_global__distZ,label
-3.0,66.0,17.0,8.0,66.0,8.0,5.0,104.0,-19.0,7.0,105.0,-4.0,2.0,-64.0,26.0,3.0,2.0,3.0,8.0,0.0,8.0,5.0,0.0,5.0,7.0,0.0,7.0,2.0,0.0,2.0,-21.0,30.0,32.0,26.0,32.0,12.0,-12.0,105.0,15.0,26.0,104.0,17.0,2.0,-64.0,26.0,21.0,1.0,21.0,26.0,0.0,26.0,12.0,0.0,12.0,26.0,0.0,26.0,2.0,0.0,2.0,6
-1.0,68.0,16.0,9.0,66.0,10.0,6.0,104.0,-21.0,8.0,105.0,1.0,2.0,-64.0,28.0,1.0,1.0,1.0,9.0,0.0,9.0,4.0,1.0,4.0,8.0,0.0,8.0,2.0,1.0,2.0,-20.0,31.0,33.0,26.0,32.0,12.0,-11.0,105.0,15.0,27.0,104.0,20.0,2.0,-64.0,28.0,20.0,1.0,20.0,26.0,1.0,26.0,13.0,1.0,13.0,27.0,1.0,27.0,2.0,1.0,2.0,6
-1.0,67.0,18.0,11.0,66.0,13.0,5.0,103.0,-20.0,8.0,105.0,-1.0,2.0,-65.0,29.0,1.0,1.0,1.0,9.0,0.0,9.0,5.0,1.0,5.0,8.0,0.0,8.0,2.0,1.0,2.0,-20.0,30.0,34.0,28.0,31.0,16.0,-12.0,104.0,15.0,27.0,103.0,19.0,2.0,-65.0,29.0,20.0,0.0,20.0,28.0,1.0,28.0,12.0,1.0,12.0,27.0,1.0,27.0,2.0,1.0,2.0,6
-1.0,66.0,14.0,10.0,66.0,20.0,5.0,104.0,-22.0,8.0,105.0,0.0,3.0,-64.0,27.0,1.0,1.0,1.0,10.0,1.0,10.0,5.0,0.0,5.0,8.0,0.0,8.0,1.0,0.0,1.0,-19.0,30.0,31.0,28.0,32.0,22.0,-11.0,105.0,14.0,28.0,104.0,19.0,3.0,-64.0,27.0,21.0,0.0,21.0,26.0,1.0,26.0,13.0,0.0,13.0,26.0,0.0,26.0,1.0,0.0,1.0,6
-1.0,67.0,16.0,10.0,65.0,10.0,5.0,104.0,-21.0,8.0,105.0,0.0,2.0,-64.0,28.0,1.0,1.0,1.0,6.0,1.0,6.0,5.0,1.0,5.0,8.0,0.0,8.0,2.0,0.0,2.0,-20.0,30.0,32.0,27.0,31.0,13.0,-12.0,105.0,15.0,27.0,104.0,20.0,2.0,-64.0,28.0,20.0,0.0,20.0,23.0,1.0,23.0,12.0,0.0,12.0,27.0,0.0,27.0,2.0,0.0,2.0,6
-1.0,66.0,14.0,8.0,66.0,12.0,5.0,103.0,-22.0,8.0,105.0,0.0,2.0,-64.0,30.0,3.0,2.0,3.0,8.0,1.0,8.0,5.0,0.0,5.0,8.0,1.0,8.0,2.0,1.0,2.0,-20.0,30.0,30.0,25.0,32.0,15.0,-12.0,105.0,13.0,27.0,104.0,20.0,2.0,-64.0,30.0,22.0,1.0,22.0,25.0,0.0,25.0,12.0,0.0,12.0,27.0,1.0,27.0,2.0,1.0,2.0,6
-2.0,68.0,15.0,16.0,65.0,10.0,5.0,103.0,-22.0,8.0,104.0,-1.0,2.0,-63.0,29.0,2.0,0.0,2.0,16.0,8.0,16.0,5.0,1.0,5.0,6.0,0.0,6.0,2.0,0.0,2.0,-21.0,31.0,31.0,32.0,32.0,12.0,-11.0,105.0,14.0,27.0,103.0,17.0,2.0,-63.0,29.0,21.0,0.0,21.0,32.0,8.0,32.0,11.0,0.0,11.0,27.0,0.0,27.0,2.0,0.0,2.0,6
0.0,68.0,14.0,31.0,57.0,15.0,5.0,104.0,-24.0,7.0,104.0,0.0,2.0,-63.0,29.0,0.0,0.0,0.0,31.0,16.0,31.0,5.0,0.0,5.0,7.0,0.0,7.0,2.0,1.0,2.0,-19.0,31.0,33.0,47.0,24.0,16.0,-11.0,105.0,14.0,27.0,103.0,17.0,2.0,-63.0,29.0,19.0,0.0,19.0,47.0,16.0,47.0,11.0,0.0,11.0,27.0,0.0,27.0,2.0,1.0,2.0,6
1.0,68.0,15.0,45.0,41.0,36.0,5.0,104.0,-26.0,10.0,104.0,5.0,3.0,-64.0,28.0,1.0,0.0,1.0,45.0,25.0,45.0,5.0,1.0,5.0,10.0,0.0,10.0,3.0,0.0,3.0,-17.0,31.0,37.0,61.0,8.0,32.0,-9.0,105.0,14.0,30.0,103.0,17.0,3.0,-64.0,28.0,17.0,0.0,17.0,61.0,26.0,61.0,9.0,1.0,9.0,30.0,0.0,30.0,3.0,0.0,3.0,6
1.0,68.0,11.0,52.0,16.0,45.0,6.0,103.0,-30.0,11.0,104.0,9.0,5.0,-64.0,24.0,5.0,1.0,5.0,44.0,32.0,44.0,6.0,0.0,6.0,11.0,1.0,11.0,5.0,0.0,5.0,-16.0,31.0,35.0,69.0,-18.0,36.0,-7.0,104.0,13.0,32.0,103.0,17.0,5.0,-64.0,24.0,16.0,3.0,16.0,65.0,31.0,65.0,7.0,0.0,7.0,32.0,1.0,32.0,5.0,0.0,5.0,6
-2.0,67.0,10.0,48.0,-16.0,52.0,7.0,103.0,-33.0,14.0,103.0,10.0,9.0,-64.0,10.0,4.0,1.0,4.0,28.0,17.0,28.0,7.0,2.0,7.0,14.0,0.0,14.0,9.0,0.0,9.0,-16.0,28.0,35.0,67.0,-49.0,38.0,-4.0,104.0,12.0,35.0,102.0,14.0,9.0,-64.0,10.0,18.0,1.0,18.0,47.0,17.0,47.0,4.0,0.0,4.0,35.0,0.0,35.0,9.0,0.0,9.0,6
-3.0,66.0,17.0,38.0,-33.0,38.0,8.0,105.0,-32.0,14.0,103.0,9.0,10.0,-64.0,8.0,3.0,1.0,3.0,18.0,7.0,18.0,6.0,0.0,6.0,10.0,0.0,10.0,8.0,0.0,8.0,-17.0,27.0,41.0,57.0,-66.0,22.0,-3.0,104.0,13.0,35.0,102.0,12.0,10.0,-64.0,8.0,19.0,0.0,19.0,35.0,7.0,35.0,7.0,0.0,7.0,31.0,0.0,31.0,8.0,0.0,8.0,6
-3.0,67.0,19.0,28.0,-40.0,23.0,7.0,105.0,-30.0,12.0,103.0,9.0,9.0,-64.0,5.0,5.0,1.0,5.0,2.0,1.0,2.0,7.0,0.0,7.0,12.0,0.0,12.0,9.0,2.0,9.0,-18.0,27.0,42.0,46.0,-73.0,8.0,-5.0,104.0,14.0,33.0,102.0,13.0,9.0,-64.0,5.0,18.0,0.0,18.0,16.0,2.0,16.0,5.0,1.0,5.0,33.0,1.0,33.0,9.0,2.0,9.0,6
