,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
22,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",[0.61782742 0.63415169 0.62483545 0.61678752],0.6234005203226564,"('Joint_7_az', 'Joint_7_el', 'Joint_8_az', 'Joint_8_el', 'Joint_9_az', 'Joint_9_el', 'Joint_10_az', 'Joint_10_el', 'Joint_11_az', 'Joint_11_el', 'Joint_12_az', 'Joint_12_el', 'Joint_13_az', 'Joint_13_el', 'Joint_14_az', 'Joint_14_el', 'Joint_17_az', 'Joint_17_el', 'Joint_18_az', 'Joint_18_el', 'Joint_19_az', 'Joint_19_el')",0.011118436934616636,0.006936098839286947,0.00400455853198817
21,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21)",[0.61760841 0.63195967 0.62878455 0.61700725],0.6238399706456192,"('Joint_7_az', 'Joint_7_el', 'Joint_8_az', 'Joint_8_el', 'Joint_9_az', 'Joint_9_el', 'Joint_10_az', 'Joint_10_el', 'Joint_11_az', 'Joint_11_el', 'Joint_12_az', 'Joint_12_el', 'Joint_13_az', 'Joint_13_el', 'Joint_14_az', 'Joint_14_el', 'Joint_17_az', 'Joint_17_el', 'Joint_18_el', 'Joint_19_az', 'Joint_19_el')",0.010629856786881695,0.006631304180151723,0.0038285852534888877
20,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21)",[0.62330267 0.62845243 0.62922334 0.61546913],0.6241118940755646,"('Joint_7_az', 'Joint_7_el', 'Joint_8_az', 'Joint_8_el', 'Joint_9_az', 'Joint_9_el', 'Joint_10_az', 'Joint_10_el', 'Joint_11_az', 'Joint_11_el', 'Joint_12_az', 'Joint_12_el', 'Joint_13_az', 'Joint_13_el', 'Joint_14_az', 'Joint_14_el', 'Joint_17_az', 'Joint_17_el', 'Joint_19_az', 'Joint_19_el')",0.008791568856965488,0.005484511078572049,0.0031664839475870573
19,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 20, 21)",[0.62374069 0.62954844 0.62812637 0.61766645],0.6247704884717699,"('Joint_7_az', 'Joint_7_el', 'Joint_8_az', 'Joint_8_el', 'Joint_9_az', 'Joint_9_el', 'Joint_10_az', 'Joint_10_el', 'Joint_11_az', 'Joint_11_el', 'Joint_12_az', 'Joint_12_el', 'Joint_13_az', 'Joint_13_el', 'Joint_14_az', 'Joint_14_el', 'Joint_17_el', 'Joint_19_az', 'Joint_19_el')",0.007416222681391582,0.004626518442726349,0.002671121668318826
18,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 20, 21)",[0.6195795  0.62998685 0.62593243 0.61788618],0.6233462384738526,"('Joint_7_az', 'Joint_7_el', 'Joint_8_az', 'Joint_8_el', 'Joint_9_az', 'Joint_9_el', 'Joint_10_az', 'Joint_10_el', 'Joint_11_az', 'Joint_11_el', 'Joint_12_az', 'Joint_12_el', 'Joint_13_az', 'Joint_13_el', 'Joint_14_az', 'Joint_17_el', 'Joint_19_az', 'Joint_19_el')",0.0078031867624916125,0.004867921180318637,0.0028104956038508457
17,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 17, 20, 21)",[0.62198861 0.62889084 0.62746819 0.61810591],0.6241133868546679,"('Joint_7_az', 'Joint_7_el', 'Joint_8_az', 'Joint_8_el', 'Joint_9_az', 'Joint_9_el', 'Joint_10_az', 'Joint_11_az', 'Joint_11_el', 'Joint_12_az', 'Joint_12_el', 'Joint_13_az', 'Joint_13_el', 'Joint_14_az', 'Joint_17_el', 'Joint_19_az', 'Joint_19_el')",0.00692643584527123,0.004320971006023679,0.0024947137734883393
16,"(0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 17, 20)",[0.61848445 0.624726   0.62944274 0.61766645],0.6225799081580072,"('Joint_7_az', 'Joint_7_el', 'Joint_8_az', 'Joint_8_el', 'Joint_9_az', 'Joint_9_el', 'Joint_10_az', 'Joint_11_az', 'Joint_11_el', 'Joint_12_az', 'Joint_12_el', 'Joint_13_az', 'Joint_13_el', 'Joint_14_az', 'Joint_17_el', 'Joint_19_az')",0.007713447604834751,0.004811938520982376,0.0027781740004131045
15,"(0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 17, 20)",[0.61804643 0.62297238 0.62505485 0.60931663],0.618847573248833,"('Joint_7_az', 'Joint_7_el', 'Joint_8_az', 'Joint_8_el', 'Joint_9_az', 'Joint_9_el', 'Joint_10_az', 'Joint_11_el', 'Joint_12_az', 'Joint_12_el', 'Joint_13_az', 'Joint_13_el', 'Joint_14_az', 'Joint_17_el', 'Joint_19_az')",0.009718382222353066,0.006062692089599393,0.003500296909944024
14,"(0, 1, 2, 3, 4, 5, 6, 9, 10, 11, 13, 14, 17, 20)",[0.61498029 0.61858834 0.62373848 0.613931  ],0.6178095283766283,"('Joint_7_az', 'Joint_7_el', 'Joint_8_az', 'Joint_8_el', 'Joint_9_az', 'Joint_9_el', 'Joint_10_az', 'Joint_11_el', 'Joint_12_az', 'Joint_12_el', 'Joint_13_el', 'Joint_14_az', 'Joint_17_el', 'Joint_19_az')",0.006146267028585033,0.0038342723760195706,0.002213718188441245
13,"(0, 1, 2, 3, 4, 5, 6, 9, 11, 13, 14, 17, 20)",[0.61038108 0.60828584 0.62242211 0.60733905],0.6121070195999414,"('Joint_7_az', 'Joint_7_el', 'Joint_8_az', 'Joint_8_el', 'Joint_9_az', 'Joint_9_el', 'Joint_10_az', 'Joint_11_el', 'Joint_12_el', 'Joint_13_el', 'Joint_14_az', 'Joint_17_el', 'Joint_19_az')",0.009708135008732651,0.006056299492607886,0.003496606142350157
